Question,Intent,gpt-4-1106-preview_intent
What are the property taxes for Phoenix?,support queries,property search
What steps are involved in the home buying process?,support queries,Support queries
How long does it typically take to close on a house?,support queries,Support queries
What kind of mortgage options are available?,support queries,Support queries
How do I apply for a mortgage?,support queries,Support queries
Do you offer property management services?,support queries,Support queries
Which properties have the best investment potential?,support queries,property search
Can you explain what closing costs are and how much they might be?,support queries,Support queries
What is the current market value of my home?,support queries,property search
Are there any rental properties available in Kondapur?,support queries,Property search
How do I apply for a mortgage?,support queries,Support queries
Do you offer property management services?,support queries,Support queries
How can I find a reputable moving company?,support queries,Support queries
What are the current real estate market trends in Kokapet?,support queries,property search
banjara hiils,support queries,property search
How do I sign up for alerts on new listings in my area of interest?,support queries,Support queries
Can you provide a comparison of living costs between Kokapet and Gachibowli?,support queries,property search
What is the best time of year to buy a property in Gachibowli?,support queries,property search
Can you provide detail on the architectural style of Phoenix?,support queries,property search
"How old is the property located at F8497, Laxmi road, whitefields, Kondapur?",support queries,property search
Can I see a floor plan of Diamond estate?,support queries,property search
What kind of heating and cooling systems does Aurovile have?,property search,Property search
Is Aurovile in a flood zone or susceptible to other natural disasters?,support queries,property search
Is this house located in a gated community?,property search,Property search
What is the price of this apartment?,property search,Property search
Is there a grocery store nearby?,property search,Property search
Is there a library nearby?,property search,Support queries
Is there a pharmacy nearby?,property search,support queries
Hi! How are you?,support queries,Support queries
What's up?,support queries,Support queries
Can you assist me?,support queries,Support queries
