Question,Intent,gpt-3.5-turbo-0125_intent
What are the property taxes for Phoenix?,support queries,property search
Do you offer property management services?,support queries,property search
Which properties have the best investment potential?,support queries,property search
What is the current market value of my home?,support queries,property search
Are there any rental properties available in Kondapur?,support queries,property search
What are the current real estate market trends in Kokapet?,support queries,property search
4,support queries,Support queries
banjara hiils,support queries,property search
Can you provide a comparison of living costs between Kokapet and Gachibowli?,support queries,property search
What is the best time of year to buy a property in Gachibowli?,support queries,property search
"How old is the property located at F8497, Laxmi road, whitefields, Kondapur?",support queries,property search
Can I see a floor plan of Diamond estate?,support queries,property search
Is Aurovile in a flood zone or susceptible to other natural disasters?,support queries,property search
What is the commute time to the city center?,property search,support queries
Is there a grocery store nearby?,property search,support queries
What is the distance to the nearest airport?,property search,support queries
Is there a pharmacy nearby?,property search,Support queries
Hi! How are you?,support queries,Support queries
What's up?,support queries,Support queries
